entity_candidate,entity
ailaq,B-PER
aluk,B-PER
alátaq,B-PER
amerdloq,B-PER
anarteq,B-PER
angiut,B-MISC
angmagssalik,B-LOC
angusinãnguaq,B-PER
artuk,B-PER
asalôq,B-PER
atakana,B-PER
atdlarneq,B-PER
atungait,B-PER
au,O
avôvang,B-PER
ernilik,B-PER
etah,B-LOC
eyes,O
ghosts,O
hahaha,O
has,O
having,O
hrrrr,O
hunters,O
ikerssuaq,B-LOC
isigâligârssik,B-PER
kangerdlugssuaq,B-LOC
kangârssuk,B-LOC
kilitêraq,B-PER
kumagdlak,B-PER
kánagssuaq,B-PER
kâgssagssuk,B-PER
kúnigseq,B-PER
kûgkat,B-PER
makíte,B-PER
misána,B-PER
natsivilik,B-LOC
navaránâ,B-PER
navaránâpaluk,B-PER
navssârssuaq,B-PER
nerrivik,B-MISC
neruvkâq,B-PER
nipisartángivaq,B-PER
nukúnguasik,B-PER
nâlaussartoq,B-MISC
ones,O
papik,B-PER
puagssuaq,B-PER
pualúna,B-PER
pâtussorssuaq,B-PER
qalagánguasê,B-MISC
qasiagssaq,B-PER
qautaq,B-PER
qigdlugsuk,B-PER
qilugtûssat,B-MISC
qujâvârssuk,B-PER
sarqiserasak,B-MISC
saunikoq,B-PER
suagaq,B-PER
sârdloq,B-LOC
talîlarssuaq,B-PER
tugto,B-PER
tungujuluk,B-PER
tupilak,B-MISC
tupilaks,B-MISC
tôrnârssuk,B-MISC
ukaleq,B-PER
umerdlugtoq,B-PER
ángángŭjuk,B-PER
âtârssuaq,B-PER
íkardlítuarssuk,B-PER
ímarasugssuaq,B-PER
aaninnguaq,B-PER
líse,B-PER
inuuteq,B-PER
uiloq,B-PER
erneeraq,B-PER
qarsoq,B-PER
aqqalu,B-PER
nikkulaannguaq,B-PER
arnaq,B-PER
katrîna,B-PER
mininnguaq,B-PER
angerlannguaq,B-PER
marîa,B-PER
panik,B-PER
angutinnguaq,B-PER
aviâja,B-PER
kari,B-PER
amâlia,B-PER
pele,B-PER
pipaluk,B-PER
angerlartunnguaq,B-PER
vîve,B-PER
mârio,B-PER
kista,B-PER
sofiarak,B-PER
bibi,B-PER
ivalu,B-PER
erninnguaq,B-PER
