DayOfYear,minVal,q25,q75,meanVal
1,12.484,13.06625,14.0275,13.459425
2,12.6,13.125,14.092,13.546317073170732
3,12.634,13.1565,14.066749999999999,13.551499999999999
4,12.724,13.219,14.168,13.628926829268295
5,12.834,13.1735,14.193000000000001,13.6433
6,12.772,13.265,14.254,13.71829268292683
7,12.75,13.27225,14.2875,13.745724999999998
8,12.74,13.292,14.321,13.811073170731708
9,12.847,13.325,14.33325,13.826699999999999
10,12.87,13.398,14.387,13.890439024390245
11,12.892,13.47475,14.36875,13.912049999999999
12,12.887,13.516,14.479,13.974731707317071
13,12.874,13.504,14.543,14.006975609756097
14,12.851,13.55275,14.604750000000001,14.070880952380952
15,12.883,13.58,14.56,14.086829268292682
16,13.033,13.655000000000001,14.571,14.15154761904762
17,13.058,13.715,14.69,14.175926829268292
18,13.119,13.76525,14.6655,14.22454761904762
19,13.177,13.778,14.745,14.26360975609756
20,13.212,13.8255,14.79,14.309666666666667
21,13.215,13.82,14.83,14.319634146341464
22,13.217,13.88925,14.879750000000001,14.370452380952381
23,13.318,13.93,14.932,14.400536585365854
24,13.427,13.966999999999999,14.899,14.448738095238095
25,13.433,13.981,14.905,14.453585365853659
26,13.352,13.999749999999999,14.94725,14.499595238095237
27,13.272,14.045,15.074,14.503463414634147
28,13.401,14.06525,15.043,14.578285714285714
29,13.45,14.051,15.17,14.565585365853657
30,13.563,14.120750000000001,15.12025,14.631142857142859
31,13.657,14.176,15.206,14.639243902439024
32,13.764,14.21225,15.23575,14.716571428571429
33,13.833,14.247,15.331,14.725707317073171
34,13.892,14.257750000000001,15.272,14.767190476190475
35,13.864,14.27,15.36,14.755341463414636
36,13.87,14.271,15.3495,14.799690476190476
37,13.861,14.286,15.369,14.798463414634146
38,13.797,14.2865,15.3125,14.833190476190477
39,13.831,14.351,15.369,14.862951219512194
40,13.772,14.38125,15.352500000000001,14.892285714285714
41,13.791,14.365,15.358,14.894024390243901
42,13.809,14.39725,15.31725,14.910738095238095
43,13.844,14.463,15.367,14.920658536585364
44,13.865,14.492750000000001,15.380749999999999,14.959142857142856
45,13.831,14.513,15.433,14.973365853658537
46,13.875,14.58975,15.43725,15.01254761904762
47,13.902,14.515,15.476,15.007365853658538
48,13.954,14.50525,15.4655,15.048642857142857
49,13.968,14.552,15.518,15.037951219512196
50,14.009,14.59725,15.49975,15.067333333333332
51,14.065,14.678,15.508,15.089853658536585
52,14.109,14.6475,15.51675,15.125571428571428
53,14.151,14.679,15.574,15.125975609756097
54,14.195,14.70225,15.522,15.149904761904763
55,14.134,14.652,15.575,15.137219512195122
56,14.172,14.662749999999999,15.548250000000001,15.158119047619047
57,14.187,14.656,15.532,15.149146341463414
58,14.166,14.688,15.60825,15.198595238095239
59,14.291,14.662,15.635,15.195999999999998
60,14.336,14.689,15.57525,15.217761904761904
61,14.293,14.741,15.617,15.205268292682925
62,14.25,14.73375,15.6685,15.215309523809523
63,14.23,14.724,15.711,15.198975609756097
64,14.186,14.766,15.598500000000001,15.220738095238094
65,14.13,14.757,15.57,15.20187804878049
66,14.177,14.744499999999999,15.55,15.210642857142856
67,14.241,14.772,15.555,15.200048780487805
68,14.26,14.79725,15.55025,15.215285714285715
69,14.306,14.818,15.527,15.20970731707317
70,14.319,14.872250000000001,15.57325,15.23195238095238
71,14.364,14.797,15.521,15.209756097560977
72,14.353,14.8345,15.56875,15.221666666666666
73,14.337,14.76,15.589,15.195341463414634
74,14.351,14.71,15.59925,15.181309523809524
75,14.317,14.712,15.521,15.170975609756097
76,14.28,14.7395,15.546,15.18554761904762
77,14.257,14.642,15.528,15.132536585365854
78,14.193,14.604,15.57275,15.14988095238095
79,14.231,14.694,15.472,15.109268292682927
80,14.227,14.64925,15.5,15.127952380952381
81,14.171,14.597,15.472,15.076731707317073
82,14.15,14.55175,15.514,15.09947619047619
83,14.12,14.483,15.538,15.054439024390243
84,14.123,14.47475,15.5435,15.07352380952381
85,14.197,14.495,15.554,15.040560975609756
86,14.199,14.501999999999999,15.48425,15.053214285714287
87,14.211,14.431,15.483,15.008634146341464
88,14.194,14.4555,15.5055,15.020095238095239
89,14.096,14.386,15.426,14.979414634146341
90,14.06,14.347,15.449,14.979238095238097
91,14.014,14.345,15.37,14.918365853658537
92,14.013,14.33,15.381,14.89554761904762
93,13.966,14.337,15.222,14.847268292682925
94,13.889,14.3405,15.3115,14.835833333333333
95,13.767,14.32,15.146,14.780829268292683
96,13.627,14.280249999999999,15.2365,14.77997619047619
97,13.539,14.282,15.154,14.71870731707317
98,13.565,14.274999999999999,15.139,14.707642857142858
99,13.554,14.22,15.088,14.643487804878049
100,13.547,14.20575,15.112,14.639
101,13.515,14.154,14.983,14.577463414634147
102,13.462,14.08075,14.969,14.55604761904762
103,13.5,14.012,14.891,14.492951219512195
104,13.49,14.02975,14.93125,14.487380952380953
105,13.431,13.986,14.85,14.421097560975609
106,13.394,14.0015,14.8035,14.429238095238096
107,13.328,13.92,14.78,14.345487804878047
108,13.254,13.90175,14.78225,14.348238095238095
109,13.214,13.897,14.635,14.252634146341462
110,13.23,13.887,14.67125,14.280976190476192
111,13.262,13.853,14.619,14.21951219512195
112,13.221,13.83225,14.60375,14.223547619047618
113,13.279,13.817,14.583,14.153512195121952
114,13.254,13.79225,14.558,14.154119047619046
115,13.307,13.699,14.477,14.065560975609756
116,13.179,13.6485,14.4175,14.058857142857143
117,13.103,13.555,14.34,13.966317073170732
118,13.08,13.536,14.3675,13.969738095238096
119,13.033,13.498,14.273,13.882926829268294
120,13.016,13.474499999999999,14.271,13.875238095238094
121,12.862,13.363,14.068,13.69751219512195
122,12.746,13.304,14.103,13.670571428571428
123,12.689,13.269,13.929,13.590170731707317
