DayOfYear,Extent
1,12.448
2,12.464
3,12.449
4,12.405
5,12.5
6,12.695
7,12.697
8,12.852
9,12.944
10,12.999
11,12.987
12,13.012
13,12.964
14,13.028
15,13.113
16,13.133
17,13.142
18,13.203
19,13.347
20,13.373
21,13.508
22,13.426
23,13.442
24,13.537
25,13.513
26,13.582
27,13.567
28,13.58
29,13.59
30,13.44
31,13.466
32,13.378
33,13.455
34,13.403
35,13.509
36,13.478
37,13.43
38,13.551
39,13.567
40,13.549
41,13.632
42,13.827
43,13.63
44,13.676
45,13.872
46,14.088
47,13.919
48,14.007
49,13.959
50,13.951
51,13.906
52,13.908
53,13.925
54,13.857
55,13.859
56,13.96
57,13.861
58,13.82
59,13.887
60,13.835
61,13.969
62,13.866
63,13.981
64,14.071
65,14.046
66,14.012
67,14.188
68,14.092
69,14.102
70,14.115
71,14.178
72,14.217
73,14.22
74,14.254
75,14.265
76,14.305
77,14.291
78,14.265
79,14.312
80,14.348
81,14.317
82,14.21
83,14.127
84,14.107
85,14.035
86,14.02
87,13.97
88,13.992
89,13.948
90,14.022
91,13.952
92,13.967
93,13.949
94,13.977
95,13.935
96,13.939
97,13.963
98,13.939
99,13.907
100,13.899
101,13.838
102,13.856
103,13.939
104,13.955
105,13.889
106,13.95
107,13.829
108,13.811
109,13.834
110,13.839
111,13.862
112,13.747
113,13.788
114,13.735
115,13.671
116,13.625
117,13.631
118,13.549
119,13.529
120,13.554
121,13.368
122,13.347
123,13.249
124,13.235
125,13.163
126,13.069
127,13.051
128,12.986
129,12.939
130,12.81
131,12.867
132,12.768
133,12.562
134,12.534
135,12.436
136,12.365
137,12.334
138,12.358
139,12.31
140,12.28
141,12.233
142,12.13
143,12.161
144,12.055
145,12.071
146,11.986
147,11.882
148,11.84
149,11.697
150,11.659
151,11.578
152,11.465
153,11.41
154,11.401
155,11.373
156,11.273
157,11.189
158,11.077
159,11.052
160,10.983
161,10.962
162,10.816
163,10.802
164,10.685
165,10.561
166,10.504
167,10.413
168,10.331
169,10.264
170,10.142
171,9.978
172,9.943
173,9.887
174,9.766
175,9.77
176,9.643
177,9.575
178,9.438
179,9.159
180,9.155
181,9.124
182,8.997
183,8.925
184,8.898
185,8.636
186,8.626
187,8.563
188,8.483
189,8.315
190,8.253
191,8.247
192,8.149
193,8.144
194,7.985
195,7.957
196,7.848
197,7.643
198,7.524
199,7.446
200,7.411
201,7.196
202,7.125
203,7.039
204,7.073
205,7.023
206,6.847
207,6.788
208,6.636
209,6.525
210,6.515
211,6.436
212,6.209
213,6.145
214,6.084
215,6.072
216,5.934
217,5.96
218,5.962
219,5.859
220,5.85
221,5.689
222,5.635
223,5.657
224,5.532
225,5.501
226,5.434
227,5.43
228,5.328
229,5.303
230,5.288
231,5.19
232,5.131
233,5.088
234,5.067
235,4.998
236,4.973
237,4.96
238,4.904
239,4.871
240,4.809
241,4.828
242,4.916
243,4.836
244,4.746
245,4.697
246,4.667
247,4.677
248,4.627
249,4.664
250,4.624
251,4.543
252,4.56
253,4.618
254,4.671
255,4.626
256,4.693
257,4.657
258,4.691
259,4.69
260,4.724
261,4.688
262,4.768
263,4.78
264,4.812
265,4.836
