Month,Day,Year,Extent,Date
January,1,1978,,1978-01-01
January,2,1978,,1978-01-02
January,3,1978,,1978-01-03
January,4,1978,,1978-01-04
January,5,1978,,1978-01-05
January,6,1978,,1978-01-06
January,7,1978,,1978-01-07
January,8,1978,,1978-01-08
January,9,1978,,1978-01-09
January,10,1978,,1978-01-10
January,11,1978,,1978-01-11
January,12,1978,,1978-01-12
January,13,1978,,1978-01-13
January,14,1978,,1978-01-14
January,15,1978,,1978-01-15
January,16,1978,,1978-01-16
January,17,1978,,1978-01-17
January,18,1978,,1978-01-18
January,19,1978,,1978-01-19
January,20,1978,,1978-01-20
January,21,1978,,1978-01-21
January,22,1978,,1978-01-22
January,23,1978,,1978-01-23
January,24,1978,,1978-01-24
January,25,1978,,1978-01-25
January,26,1978,,1978-01-26
January,27,1978,,1978-01-27
January,28,1978,,1978-01-28
January,29,1978,,1978-01-29
January,30,1978,,1978-01-30
January,31,1978,,1978-01-31
February,1,1978,,1978-02-01
February,2,1978,,1978-02-02
February,3,1978,,1978-02-03
February,4,1978,,1978-02-04
February,5,1978,,1978-02-05
February,6,1978,,1978-02-06
February,7,1978,,1978-02-07
February,8,1978,,1978-02-08
February,9,1978,,1978-02-09
February,10,1978,,1978-02-10
February,11,1978,,1978-02-11
February,12,1978,,1978-02-12
February,13,1978,,1978-02-13
February,14,1978,,1978-02-14
February,15,1978,,1978-02-15
February,16,1978,,1978-02-16
February,17,1978,,1978-02-17
February,18,1978,,1978-02-18
February,19,1978,,1978-02-19
February,20,1978,,1978-02-20
February,21,1978,,1978-02-21
February,22,1978,,1978-02-22
February,23,1978,,1978-02-23
February,24,1978,,1978-02-24
February,25,1978,,1978-02-25
February,26,1978,,1978-02-26
February,27,1978,,1978-02-27
February,28,1978,,1978-02-28
February,29,1978,,
March,1,1978,,1978-03-01
March,2,1978,,1978-03-02
March,3,1978,,1978-03-03
March,4,1978,,1978-03-04
March,5,1978,,1978-03-05
March,6,1978,,1978-03-06
March,7,1978,,1978-03-07
March,8,1978,,1978-03-08
March,9,1978,,1978-03-09
March,10,1978,,1978-03-10
March,11,1978,,1978-03-11
March,12,1978,,1978-03-12
March,13,1978,,1978-03-13
March,14,1978,,1978-03-14
March,15,1978,,1978-03-15
March,16,1978,,1978-03-16
March,17,1978,,1978-03-17
March,18,1978,,1978-03-18
March,19,1978,,1978-03-19
March,20,1978,,1978-03-20
March,21,1978,,1978-03-21
March,22,1978,,1978-03-22
March,23,1978,,1978-03-23
March,24,1978,,1978-03-24
March,25,1978,,1978-03-25
March,26,1978,,1978-03-26
March,27,1978,,1978-03-27
March,28,1978,,1978-03-28
March,29,1978,,1978-03-29
March,30,1978,,1978-03-30
March,31,1978,,1978-03-31
April,1,1978,,1978-04-01
April,2,1978,,1978-04-02
April,3,1978,,1978-04-03
April,4,1978,,1978-04-04
April,5,1978,,1978-04-05
April,6,1978,,1978-04-06
April,7,1978,,1978-04-07
April,8,1978,,1978-04-08
April,9,1978,,1978-04-09
April,10,1978,,1978-04-10
April,11,1978,,1978-04-11
April,12,1978,,1978-04-12
April,13,1978,,1978-04-13
April,14,1978,,1978-04-14
April,15,1978,,1978-04-15
April,16,1978,,1978-04-16
April,17,1978,,1978-04-17
April,18,1978,,1978-04-18
April,19,1978,,1978-04-19
April,20,1978,,1978-04-20
April,21,1978,,1978-04-21
April,22,1978,,1978-04-22
April,23,1978,,1978-04-23
April,24,1978,,1978-04-24
April,25,1978,,1978-04-25
April,26,1978,,1978-04-26
April,27,1978,,1978-04-27
April,28,1978,,1978-04-28
April,29,1978,,1978-04-29
April,30,1978,,1978-04-30
May,1,1978,,1978-05-01
May,2,1978,,1978-05-02
May,3,1978,,1978-05-03
May,4,1978,,1978-05-04
May,5,1978,,1978-05-05
May,6,1978,,1978-05-06
May,7,1978,,1978-05-07
May,8,1978,,1978-05-08
May,9,1978,,1978-05-09
